"","round","contribution","frequency","mean","replicationNumber"
"NA",1,0,0.108,4.514,100
"2",1,2,0.201,4.514,100
"3",1,4,0.305,4.514,100
"4",1,6,0.205,4.514,100
"5",1,8,0.074,4.514,100
"6",1,10,0.107,4.514,100
"7",2,0,0.122,4.594,100
"8",2,2,0.179,4.594,100
"9",2,4,0.284,4.594,100
"10",2,6,0.225,4.594,100
"11",2,8,0.075,4.594,100
"12",2,10,0.115,4.594,100
"13",3,0,0.105,4.658,100
"14",3,2,0.178,4.658,100
"15",3,4,0.305,4.658,100
"16",3,6,0.227,4.658,100
"17",3,8,0.065,4.658,100
"18",3,10,0.12,4.658,100
"19",4,0,0.113,4.69,100
"20",4,2,0.149,4.69,100
"21",4,4,0.326,4.69,100
"22",4,6,0.224,4.69,100
"23",4,8,0.068,4.69,100
"24",4,10,0.12,4.69,100
"25",5,0,0.121,4.776,100
"26",5,2,0.139,4.776,100
"27",5,4,0.315,4.776,100
"28",5,6,0.215,4.776,100
"29",5,8,0.076,4.776,100
"30",5,10,0.134,4.776,100
"31",6,0,0.121,4.714,100
"32",6,2,0.15,4.714,100
"33",6,4,0.318,4.714,100
"34",6,6,0.211,4.714,100
"35",6,8,0.062,4.714,100
"36",6,10,0.138,4.714,100
"37",7,0,0.136,4.62,100
"38",7,2,0.138,4.62,100
"39",7,4,0.328,4.62,100
"40",7,6,0.208,4.62,100
"41",7,8,0.058,4.62,100
"42",7,10,0.132,4.62,100
"43",8,0,0.13,4.732,100
"44",8,2,0.143,4.732,100
"45",8,4,0.312,4.732,100
"46",8,6,0.208,4.732,100
"47",8,8,0.06,4.732,100
"48",8,10,0.147,4.732,100
"49",9,0,0.125,4.808,100
"50",9,2,0.133,4.808,100
"51",9,4,0.319,4.808,100
"52",9,6,0.209,4.808,100
"53",9,8,0.064,4.808,100
"54",9,10,0.15,4.808,100
"55",10,0,0.116,4.868,100
"56",10,2,0.129,4.868,100
"57",10,4,0.33,4.868,100
"58",10,6,0.207,4.868,100
"59",10,8,0.066,4.868,100
"60",10,10,0.152,4.868,100
"61",11,0,0.111,4.784,100
"62",11,2,0.152,4.784,100
"63",11,4,0.334,4.784,100
"64",11,6,0.192,4.784,100
"65",11,8,0.059,4.784,100
"66",11,10,0.152,4.784,100
"67",12,0,0.13,4.646,100
"68",12,2,0.16,4.646,100
"69",12,4,0.314,4.646,100
"70",12,6,0.193,4.646,100
"71",12,8,0.059,4.646,100
"72",12,10,0.144,4.646,100
"73",13,0,0.124,4.706,100
"74",13,2,0.15,4.706,100
"75",13,4,0.323,4.706,100
"76",13,6,0.2,4.706,100
"77",13,8,0.058,4.706,100
"78",13,10,0.145,4.706,100
"79",14,0,0.097,4.91,100
"80",14,2,0.164,4.91,100
"81",14,4,0.328,4.91,100
"82",14,6,0.172,4.91,100
"83",14,8,0.076,4.91,100
"84",14,10,0.163,4.91,100
"85",1,0,0.098,4.568,99
"86",1,2,0.195,4.568,99
"87",1,4,0.332,4.568,99
"88",1,6,0.192,4.568,99
"89",1,8,0.066,4.568,99
"90",1,10,0.117,4.568,99
"91",2,0,0.091,4.5,99
"92",2,2,0.2,4.5,99
"93",2,4,0.355,4.5,99
"94",2,6,0.185,4.5,99
"95",2,8,0.06,4.5,99
"96",2,10,0.109,4.5,99
"97",3,0,0.086,4.456,99
"98",3,2,0.185,4.456,99
"99",3,4,0.396,4.456,99
"100",3,6,0.171,4.456,99
"101",3,8,0.072,4.456,99
"102",3,10,0.09,4.456,99
"103",4,0,0.084,4.564,99
"104",4,2,0.178,4.564,99
"105",4,4,0.388,4.564,99
"106",4,6,0.176,4.564,99
"107",4,8,0.07,4.564,99
"108",4,10,0.104,4.564,99
"109",5,0,0.077,4.61,99
"110",5,2,0.169,4.61,99
"111",5,4,0.401,4.61,99
"112",5,6,0.181,4.61,99
"113",5,8,0.069,4.61,99
"114",5,10,0.103,4.61,99
"115",6,0,0.096,4.47,99
"116",6,2,0.157,4.47,99
"117",6,4,0.414,4.47,99
"118",6,6,0.177,4.47,99
"119",6,8,0.061,4.47,99
"120",6,10,0.095,4.47,99
"121",7,0,0.097,4.548,99
"122",7,2,0.157,4.548,99
"123",7,4,0.402,4.548,99
"124",7,6,0.172,4.548,99
"125",7,8,0.063,4.548,99
"126",7,10,0.109,4.548,99
"127",8,0,0.084,4.658,99
"128",8,2,0.158,4.658,99
"129",8,4,0.403,4.658,99
"130",8,6,0.174,4.658,99
"131",8,8,0.062,4.658,99
"132",8,10,0.119,4.658,99
"133",9,0,0.093,4.664,99
"134",9,2,0.145,4.664,99
"135",9,4,0.404,4.664,99
"136",9,6,0.176,4.664,99
"137",9,8,0.059,4.664,99
"138",9,10,0.123,4.664,99
"139",10,0,0.095,4.724,99
"140",10,2,0.139,4.724,99
"141",10,4,0.406,4.724,99
