"","round","contribution","frequency","mean","replicationNumber"
"NA",1,0,0.19,4.56,100
"2",1,2,0.17,4.56,100
"3",1,4,0.23,4.56,100
"4",1,6,0.17,4.56,100
"5",1,8,0.06,4.56,100
"6",1,10,0.18,4.56,100
"7",2,0,0.22,4.5,100
"8",2,2,0.18,4.5,100
"9",2,4,0.19,4.5,100
"10",2,6,0.15,4.5,100
"11",2,8,0.06,4.5,100
"12",2,10,0.2,4.5,100
"13",3,0,0.27,4.66,100
"14",3,2,0.12,4.66,100
"15",3,4,0.14,4.66,100
"16",3,6,0.17,4.66,100
"17",3,8,0.08,4.66,100
"18",3,10,0.22,4.66,100
"19",4,0,0.3,4.42,100
"20",4,2,0.14,4.42,100
"21",4,4,0.13,4.42,100
"22",4,6,0.14,4.42,100
"23",4,8,0.06,4.42,100
"24",4,10,0.23,4.42,100
"25",5,0,0.34,4.42,100
"26",5,2,0.14,4.42,100
"27",5,4,0.11,4.42,100
"28",5,6,0.08,4.42,100
"29",5,8,0.04,4.42,100
"30",5,10,0.29,4.42,100
"31",6,0,0.37,4.38,100
"32",6,2,0.11,4.38,100
"33",6,4,0.11,4.38,100
"34",6,6,0.09,4.38,100
"35",6,8,0.01,4.38,100
"36",6,10,0.31,4.38,100
"37",7,0,0.39,4.54,100
"38",7,2,0.09,4.54,100
"39",7,4,0.09,4.54,100
"40",7,6,0.07,4.54,100
"41",7,8,0.01,4.54,100
"42",7,10,0.35,4.54,100
"43",8,0,0.41,4.46,100
"44",8,2,0.07,4.46,100
"45",8,4,0.09,4.46,100
"46",8,6,0.08,4.46,100
"47",8,8,0.01,4.46,100
"48",8,10,0.34,4.46,100
"49",9,0,0.47,4.24,100
"50",9,2,0.04,4.24,100
"51",9,4,0.07,4.24,100
"52",9,6,0.08,4.24,100
"53",9,8,0,4.24,100
"54",9,10,0.34,4.24,100
"55",10,0,0.53,3.52,100
"56",10,2,0.05,3.52,100
"57",10,4,0.11,3.52,100
"58",10,6,0.03,3.52,100
"59",10,8,0,3.52,100
"60",10,10,0.28,3.52,100
"61",11,0,0.48,3.92,100
"62",11,2,0.03,3.92,100
"63",11,4,0.14,3.92,100
"64",11,6,0.05,3.92,100
"65",11,8,0,3.92,100
"66",11,10,0.3,3.92,100
"67",12,0,0.55,3.82,100
"68",12,2,0,3.82,100
"69",12,4,0.08,3.82,100
"70",12,6,0.05,3.82,100
"71",12,8,0,3.82,100
"72",12,10,0.32,3.82,100
"73",13,0,0.55,3.98,100
"74",13,2,0,3.98,100
"75",13,4,0.04,3.98,100
"76",13,6,0.07,3.98,100
"77",13,8,0,3.98,100
"78",13,10,0.34,3.98,100
"79",14,0,0.55,3.94,100
"80",14,2,0,3.94,100
"81",14,4,0.04,3.94,100
"82",14,6,0.08,3.94,100
"83",14,8,0,3.94,100
"84",14,10,0.33,3.94,100
"85",1,0,0.14,4.3,99
"86",1,2,0.25,4.3,99
"87",1,4,0.26,4.3,99
"88",1,6,0.16,4.3,99
"89",1,8,0.05,4.3,99
"90",1,10,0.14,4.3,99
"91",2,0,0.17,4.14,99
"92",2,2,0.25,4.14,99
"93",2,4,0.25,4.14,99
"94",2,6,0.14,4.14,99
"95",2,8,0.05,4.14,99
"96",2,10,0.14,4.14,99
"97",3,0,0.19,4.5,99
"98",3,2,0.21,4.5,99
"99",3,4,0.21,4.5,99
"100",3,6,0.14,4.5,99
"101",3,8,0.05,4.5,99
"102",3,10,0.2,4.5,99
"103",4,0,0.19,4.9,99
"104",4,2,0.15,4.9,99
"105",4,4,0.17,4.9,99
"106",4,6,0.23,4.9,99
"107",4,8,0.03,4.9,99
"108",4,10,0.23,4.9,99
"109",5,0,0.2,4.98,99
"110",5,2,0.17,4.98,99
"111",5,4,0.18,4.98,99
"112",5,6,0.14,4.98,99
"113",5,8,0.01,4.98,99
"114",5,10,0.3,4.98,99
"115",6,0,0.28,4.66,99
"116",6,2,0.18,4.66,99
"117",6,4,0.12,4.66,99
"118",6,6,0.09,4.66,99
"119",6,8,0.01,4.66,99
"120",6,10,0.32,4.66,99
"121",7,0,0.36,4.26,99
"122",7,2,0.17,4.26,99
"123",7,4,0.06,4.26,99
"124",7,6,0.1,4.26,99
"125",7,8,0.01,4.26,99
"126",7,10,0.3,4.26,99
"127",8,0,0.44,3.9,99
"128",8,2,0.16,3.9,99
"129",8,4,0.02,3.9,99
"130",8,6,0.07,3.9,99
"131",8,8,0.01,3.9,99
"132",8,10,0.3,3.9,99
"133",9,0,0.46,3.9,99
"134",9,2,0.15,3.9,99
"135",9,4,0.02,3.9,99
"136",9,6,0.04,3.9,99
"137",9,8,0.01,3.9,99
"138",9,10,0.32,3.9,99
"139",10,0,0.41,4.38,99
"140",10,2,0.13,4.38,99
"141",10,4,0.04,4.38,99
"142",10,6,0.06,4.38,99
"143",10,8,0,4.38,99
"144",10,10,0.36,4.38,99
"145",11,0,0.52,3.98,99
"146",11,2,0.06,3.98,99
"147",11,4,0.01,3.98,99
"148",11,6,0.07,3.98,99
"149",11,8,0,3.98,99
"150",11,10,0.34,3.98,99
"151",12,0,0.48,4.26,99
"152",12,2,0.07,4.26,99
"153",12,4,0.01,4.26,99
"154",12,6,0.08,4.26,99
"155",12,8,0,4.26,99
"156",12,10,0.36,4.26,99
"157",13,0,0.51,4.3,99
"158",13,2,0.05,4.3,99
"159",13,4,0,4.3,99
"160",13,6,0.05,4.3,99
"161",13,8,0,4.3,99
"162",13,10,0.39,4.3,99
"163",14,0,0.54,4.04,99
"164",14,2,0.05,4.04,99
"165",14,4,0,4.04,99
"166",14,6,0.04,4.04,99
"167",14,8,0,4.04,99
"168",14,10,0.37,4.04,99
"169",1,0,0.16,4.42,98
"170",1,2,0.17,4.42,98
"171",1,4,0.31,4.42,98
"172",1,6,0.17,4.42,98
"173",1,8,0.04,4.42,98
"174",1,10,0.15,4.42,98
"175",2,0,0.19,4.34,98
"176",2,2,0.13,4.34,98
"177",2,4,0.31,4.34,98
"178",2,6,0.21,4.34,98
"179",2,8,0.01,4.34,98
"180",2,10,0.15,4.34,98
"181",3,0,0.22,4.58,98
"182",3,2,0.08,4.58,98
"183",3,4,0.31,4.58,98
"184",3,6,0.17,4.58,98
"185",3,8,0.02,4.58,98
"186",3,10,0.2,4.58,98
"187",4,0,0.27,4.28,98
"188",4,2,0.08,4.28,98
"189",4,4,0.28,4.28,98
"190",4,6,0.17,4.28,98
"191",4,8,0.01,4.28,98
"192",4,10,0.19,4.28,98
"193",5,0,0.24,4.72,98
"194",5,2,0.07,4.72,98
"195",5,4,0.24,4.72,98
"196",5,6,0.22,4.72,98
"197",5,8,0,4.72,98
"198",5,10,0.23,4.72,98
"199",6,0,0.35,4.2,98
"200",6,2,0.04,4.2,98
"201",6,4,0.21,4.2,98
"202",6,6,0.18,4.2,98
"203",6,8,0,4.2,98
"204",6,10,0.22,4.2,98
"205",7,0,0.39,4.06,98
"206",7,2,0.03,4.06,98
"207",7,4,0.18,4.06,98
"208",7,6,0.18,4.06,98
"209",7,8,0,4.06,98
"210",7,10,0.22,4.06,98
"211",8,0,0.41,4.34,98
"212",8,2,0,4.34,98
"213",8,4,0.14,4.34,98
"214",8,6,0.18,4.34,98
"215",8,8,0,4.34,98
"216",8,10,0.27,4.34,98
"217",9,0,0.44,4.2,98
"218",9,2,0,4.2,98
"219",9,4,0.14,4.2,98
"220",9,6,0.14,4.2,98
"221",9,8,0,4.2,98
"222",9,10,0.28,4.2,98
"223",10,0,0.44,4.32,98
"224",10,2,0,4.32,98
"225",10,4,0.1,4.32,98
"226",10,6,0.17,4.32,98
"227",10,8,0,4.32,98
"228",10,10,0.29,4.32,98
"229",11,0,0.48,4.22,98
"230",11,2,0,4.22,98
"231",11,4,0.11,4.22,98
"232",11,6,0.08,4.22,98
"233",11,8,0,4.22,98
"234",11,10,0.33,4.22,98
"235",12,0,0.45,4.56,98
"236",12,2,0,4.56,98
"237",12,4,0.11,4.56,98
"238",12,6,0.07,4.56,98
"239",12,8,0,4.56,98
"240",12,10,0.37,4.56,98
"241",13,0,0.43,4.82,98
"242",13,2,0,4.82,98
"243",13,4,0.1,4.82,98
"244",13,6,0.07,4.82,98
"245",13,8,0,4.82,98
"246",13,10,0.4,4.82,98
"247",14,0,0.43,4.98,98
"248",14,2,0,4.98,98
"249",14,4,0.08,4.98,98
"250",14,6,0.06,4.98,98
"251",14,8,0,4.98,98
"252",14,10,0.43,4.98,98
"253",1,0,0.17,4.76,97
"254",1,2,0.17,4.76,97
"255",1,4,0.22,4.76,97
"256",1,6,0.14,4.76,97
"257",1,8,0.15,4.76,97
"258",1,10,0.15,4.76,97
"259",2,0,0.28,4.06,97
"260",2,2,0.17,4.06,97
"261",2,4,0.21,4.06,97
"262",2,6,0.09,4.06,97
"263",2,8,0.08,4.06,97
"264",2,10,0.17,4.06,97
"265",3,0,0.31,4.08,97
"266",3,2,0.12,4.08,97
"267",3,4,0.22,4.08,97
"268",3,6,0.08,4.08,97
"269",3,8,0.11,4.08,97
"270",3,10,0.16,4.08,97
"271",4,0,0.36,4.02,97
"272",4,2,0.11,4.02,97
"273",4,4,0.21,4.02,97
"274",4,6,0.02,4.02,97
"275",4,8,0.08,4.02,97
"276",4,10,0.22,4.02,97
"277",5,0,0.41,4.12,97
"278",5,2,0.06,4.12,97
"279",5,4,0.18,4.12,97
"280",5,6,0.02,4.12,97
"281",5,8,0.07,4.12,97
"282",5,10,0.26,4.12,97
"283",6,0,0.42,4.1,97
"284",6,2,0.04,4.1,97
"285",6,4,0.19,4.1,97
"286",6,6,0.03,4.1,97
"287",6,8,0.06,4.1,97
"288",6,10,0.26,4.1,97
"289",7,0,0.41,4.18,97
"290",7,2,0.09,4.18,97
"291",7,4,0.15,4.18,97
"292",7,6,0,4.18,97
"293",7,8,0.05,4.18,97
"294",7,10,0.3,4.18,97
"295",8,0,0.4,4.44,97
"296",8,2,0.07,4.44,97
"297",8,4,0.15,4.44,97
"298",8,6,0,4.44,97
"299",8,8,0.05,4.44,97
"300",8,10,0.33,4.44,97
"301",9,0,0.36,4.74,97
"302",9,2,0.06,4.74,97
"303",9,4,0.18,4.74,97
"304",9,6,0,4.74,97
"305",9,8,0.05,4.74,97
"306",9,10,0.35,4.74,97
"307",10,0,0.39,4.52,97
"308",10,2,0.07,4.52,97
"309",10,4,0.16,4.52,97
"310",10,6,0,4.52,97
"311",10,8,0.03,4.52,97
"312",10,10,0.35,4.52,97
"313",11,0,0.37,4.52,97
"314",11,2,0.04,4.52,97
"315",11,4,0.23,4.52,97
"316",11,6,0,4.52,97
"317",11,8,0.04,4.52,97
"318",11,10,0.32,4.52,97
"319",12,0,0.36,5.08,97
"320",12,2,0.03,5.08,97
"321",12,4,0.17,5.08,97
"322",12,6,0,5.08,97
"323",12,8,0.03,5.08,97
"324",12,10,0.41,5.08,97
"325",13,0,0.29,6.16,97
"326",13,2,0.01,6.16,97
"327",13,4,0.14,6.16,97
"328",13,6,0,6.16,97
"329",13,8,0.01,6.16,97
"330",13,10,0.55,6.16,97
"331",14,0,0.31,5.98,97
"332",14,2,0.04,5.98,97
"333",14,4,0.1,5.98,97
"334",14,6,0,5.98,97
"335",14,8,0,5.98,97
"336",14,10,0.55,5.98,97
"337",1,0,0.17,4.58,96
"338",1,2,0.17,4.58,96
"339",1,4,0.25,4.58,96
"340",1,6,0.19,4.58,96
"341",1,8,0.05,4.58,96
"342",1,10,0.17,4.58,96
"343",2,0,0.18,4.96,96
"344",2,2,0.13,4.96,96
"345",2,4,0.26,4.96,96
"346",2,6,0.14,4.96,96
"347",2,8,0.04,4.96,96
"348",2,10,0.25,4.96,96
"349",3,0,0.16,5.42,96
"350",3,2,0.1,5.42,96
"351",3,4,0.24,5.42,96
"352",3,6,0.17,5.42,96
"353",3,8,0.03,5.42,96
"354",3,10,0.3,5.42,96
"355",4,0,0.24,4.96,96
"356",4,2,0.08,4.96,96
"357",4,4,0.24,4.96,96
"358",4,6,0.13,4.96,96
"359",4,8,0.02,4.96,96
"360",4,10,0.29,4.96,96
"361",5,0,0.32,4.82,96
"362",5,2,0.07,4.82,96
"363",5,4,0.16,4.82,96
"364",5,6,0.11,4.82,96
"365",5,8,0.01,4.82,96
